UKPRN,EstablishmentName
,(Acle) Marshes Children's Centre
10029085,16-19 Abingdon
,1a Children's Centre
,1st Place Children and Parents' Centre
10017151,3 Dimensions
,3R1 Abbots Langley Family Centre
,3R2 Croxley Green Family Centre
,3R3 Rickmansworth Family Centre
,3R4 Ebury Family Centre
,3R5 South Oxhey Family Centre
,3R6 Chorleywood and Loudwater Family Centre
10027380,AALPS College
10045668,Ab Kettleby School
10042333,Abacus Belsize Primary School
,Abacus Children's Centre
10074189,Abacus Primary School
10076778,Abbas and Templecombe Church of England Primary School
10017109,Abberley Hall School
10070414,Abberley Parochial VC Primary School
,ABBEY & LADY BAY Children's Centre
,Abbey Children's Centre
,Abbey Children's Centre
10043319,Abbey CofE Academy
10079618,Abbey CofE Infant School
10029725,Abbey College Cambridge
10014778,Abbey College in Malvern
10008891,Abbey College Manchester
10035138,"Abbey College, Ramsey"
10014800,Abbey Court Foundation Special School
10014893,Abbey Gate College
10069288,Abbey Gates Primary School
10034529,Abbey Grange Church of England Academy
,Abbey Green Nursery School
,Abbey Green Nursery School & Children's Centre
10040776,Abbey Hey Primary Academy
10042628,Abbey Hill Academy
10079929,Abbey Hill Primary & Nursery
10014926,Abbey Hill School and College
10082359,Abbey Hulton Primary School
10070964,Abbey Infant School
10034923,Abbey Infants' School
10071491,Abbey Junior School
10034924,Abbey Junior School
,Abbey Lane Children's Centre
10072602,Abbey Lane Primary School
10016920,Abbey Manor College
10084137,Abbey Mead Primary Academy
10081927,Abbey Meads Community Primary School
10043310,Abbey Park Academy
10080143,Abbey Park First and Nursery School
10068752,Abbey Park Middle School
10067076,Abbey Park School
10069977,Abbey Primary School
10044230,Abbey Primary School
10080884,Abbey Primary School
,Abbey Primary School
,Abbey Road and Regents Park Children's Centre Information Point
10074783,Abbey Road Primary School
,Abbey Rose School
10071144,Abbey School
10056212,Abbey School
10041673,Abbey View
10083789,Abbey View Primary Academy
10069913,Abbey Village Primary School
,Abbey Wood Children's Centre
,Abbey Wood Nursery School
10041985,Abbey Woods Academy
10057464,Abbeyfield Primary Academy
10009479,Abbeyfield School
10038483,Abbeyfield School
10063842,Abbeyfields First School
10083728,Abbeygate Sixth Form College
10080656,Abbeymead Primary School
10077886,Abbeys Primary School
10039896,Abbeywood Community School
10055162,Abbeywood First School
,Abbeywood School
10064830,Abbot Alphege Academy
10000044,Abbot Beyne School
10069198,Abbot's Hall Community Primary School
10014811,Abbot's Hill School
10017283,Abbot's Lea School
10071986,Abbots Farm Infant School
10075084,Abbots Farm Junior School
10067294,Abbots Green Primary Academy
,Abbots Hall Childrens Centre P2-5
10041348,Abbots Hall Primary School
10070792,Abbots Langley School
10070492,Abbots Ripton CofE Primary School
10080002,Abbotsbury Primary School
10078249,Abbotsford Preparatory School
10000046,Abbotsholme School
10076091,Abbotskerswell Primary School
10047510,Abbotsweld Primary Academy
10069661,Abbotswood Junior School
10074208,Abbotswood Primary School
10070097,Abbott Community Primary School
10071591,Abbotts Ann Church of England Primary School
10033379,Abbs Cross Academy and Arts College
,ABC Ashburton and Buckfastleigh Children's Centre
,ABC International School
10069559,Abel Smith School
,Aberbargoed Primary School
,Abercanaid Community School
,Abercarn Primary School
,Abercerdin Primary School
10018702,Abercorn School
10077263,Abercrombie Primary School
,Abercromby Nursery School
,Abercynon Community Primary School
10047740,Aberdare Community School
,Aberdare Park Primary
,Aberdare Town C.I.W. Primary School
10018834,Aberdour Preparatory School
,Aberfeldy Children's Centre
10068622,Aberford Church of England Voluntary Controlled Primary School
,Abergwili VCP
,Abermorddu C.P. School
,Abermule Primary School
,Abernant C.P. School
,Abernant Primary School
10013790,Abersychan Comprehensive School
10058899,Abertillery Learning Community
10000055,Abingdon and Witney College
,Abingdon Children and Family Centre
,Abingdon Children's Centre
10010204,Abingdon House School
10072632,Abingdon Primary School
10069479,Abingdon Primary School
10015002,Abingdon School
,Abington Library and Children's Centre
10039388,Abington Vale Primary School
