"16-19 Abingdon, ",10029085
"3 Dimensions, Chardleigh House",10017151
"AALPS College, Winterton Road",10027380
"ACE Schools Plymouth, Martins Gate",10056716
"ACE Tiverton Special School, Orchard Way",10083778
"ACS Cobham International School, Heywood",10043891
"ACS Egham International School, Woodlee",10014838
"ACS Hillingdon International School, 108 Vine Lane",10015039
"AIM Academy North London, 34 Turin Road",10084305
"ALP Leicester, Stonehill Avenue",10070562
"ASPIRE Centre, Kings Leadership Academy Liverpool, Dingle Vale",10067189
"ASPIRE: Lifeskills Learning Centre, Town Hall Chambers",10073525
"Abberley Hall School, Abberley",10017109
"Abbey College Cambridge, Homerton Gardens, Purbeck Road",10029725
"Abbey College Manchester, 5-7 Cheapside",10008891
"Abbey College in Malvern, 253 Wells Road",10014778
"Abbey College, Ramsey, Abbey Road",10035138
"Abbey Court Foundation Special School, Rede Court Road",10014800
"Abbey Gate College, Saighton Grange",10014893
"Abbey Grange Church of England Academy, Butcher Hill",10034529
"Abbey Hill Academy, Ketton Road",10042628
"Abbey Hill School and College, Box Lane",10014926
"Abbey Manor College, 40 Falmouth Close",10016920
"Abbey Park Middle School, Abbey Road",10068752
"Abbey Park School, The Learning Campus",10067076
"Abbey School, Hampton Court",10071144
"Abbey School, Little Common Lane",10056212
"Abbey View, Gloucester Road",10041673
"Abbeyfield School, Mereway",10038483
"Abbeyfield School, Stanley Lane",10009479
"Abbeygate Sixth Form College, ",10083728
"Abbeywood Community School, New Road",10039896
"Abbot Beyne School, Linnell Building",10000044
"Abbot's Hill School, Bunkers Lane",10014811
"Abbot's Lea School, Beaconsfield Road",10017283
"Abbotsford Preparatory School, 211 Flixton Road",10078249
"Abbotsholme School, Rocester",10000046
"Abbs Cross Academy and Arts College, Abbs Cross Lane",10033379
"Abercorn School, 28 Abercorn Place",10018702
"Aberdare Community School, Ynys Road",10047740
"Aberdour Preparatory School, Brighton Road",10018834
"Abersychan Comprehensive School, Incline Road",10013790
"Abertillery Learning Community, Alma Street",10058899
"Abingdon House School, Broadley Terrace",10010204
"Abingdon School, Park Road",10015002
"Abingdon and Witney College, Wootton Road",10000055
"Abraham Moss Community School, Crescent Road",10014987
"Abrar Academy, 34-36 Garstang Road",10027340
"Abu Bakr Boys School, Kent Street",10025564
"Abu Bakr Girls School, 154-160 Wednesbury Road",10014973
"Academy 360, Portsmouth Road",10066453
"Academy@Worden, Westfield Drive",10040296
"Access School, Holbrook Villa Farm",10018833
"Accrington Academy, Queens Road West",10024152
"Accrington St Christopher's Church of England High School, Queen's Road West",10035196
"Acklam Grange School, Lodore Grove",10067565
"Ackworth School, Ackworth",10008060
"Acland Burghley School, Burghley Road",10000101
"Acle Academy, South Walsham Road",10038633
"Acorn Cottage, Ipswich Road",10017129
"Acorn Free School, 248 Calder Road",10042062
"Acorn House College, 39-47 High Street",10015839
"Acorn Park School, Andrews Furlong",10018107
"Acorn School, Seckington Cross",10025518
"Acorns Primary School, Moor Park",10076628
"Acorns School, 19b Hibbert Lane",10014871
"Activate Learning, Oxpen Road",10004927
"Activate, The Bracknell Centre",10019237
"Active Support Education Centre, Unit 1 Britannia Estates",10073532
"Ada Lovelace Church of England High School, Oldfield Lane North",10067896
"Ada National College for Digital Skills, Broad Lane",10057981
"Adcote School for Girls, Little Ness",10000134
"Addey and Stanhope School, 472 New Cross Road",10000136
"Addington School, Woodlands Avenue",10014942
"Adel Beck, East Moor Lane",10017503
"Adelaide Heath Academy, Longridge",10043357
"Adelaide School, Adelaide Street",10044264
"Admiral Lord Nelson School, Dundas Lane",10045646
"Advance Education, Unit 5, Unimix House",10075596
"Aegir - A Specialist Academy, Sweyn Lane",10053087
"Afifah School, 86 Clifton Street",10017101
"Afon Taf High School, Yew Street",10008724
"Ahavas Torah Boys Academy, Riverside",10070549
"Aidenswood, 48 Parson Street",10017275
"Aim Habonim, 51 Rigby Street",10071839
"Airedale Academy, Crewe Road",10033306
"Airthrie School With Hillfield Dyslexia Trust, 27-29 Christchurch Road",10018441
"Akeley Wood Junior School, Wicken Park",10071104
"Akeley Wood Senior School, Akeley Wood",10008621
"Al Huda Academy (Jamia Al-Hudaa), Ouseburn Croft",10017841
"Al Huda Girls' School, 74-76 Washwood Heath Road",10014835
"Al Islah Girls' High School, 108 Audley Range",10017140
"Al Jamiatul Islamiyah, Mount St Joseph's Convent",10014836
"Al Khair School, 61-63 Causeway Green Road",10077580
"Al Mumin Primary and Secondary School, Clifton Street",10071851
"Al Risalah Secondary School, 145 Upper Tooting Road",10014868
"Al-Ameen Primary School, Stanfield House",10080492
"Al-Aqsa Schools Trust, The Wayne Way",10039342
"Al-Ashraf Primary School, Al-Ashraf Cultural Centre",10072362
"Al-Ashraf Secondary School for Girls, Sinope Street",10015462
"Al-Burhan Grammar School, Spring Road Centre",10017178
"Al-Falah Primary School, 48 Kenninghall Road",10037979
"Al-Furqaan Preparatory School, Drill Hall House",10080478
"Al-Furqan Community College (Boys), 1021 Warwick Road",10043903
"Al-Furqan Community College, 1021 Warwick Road",10043884
"Al-Huda Primary School, 3 Hennon Street",10079916
"Al-Ihsaan Community College, 1 Kamloops Crescent",10034089
"Al-Ikhlaas Primary School, 35 Norfolk Street",10079143
"Al-Islamia Institute for Education, 5-7 Evington Street",10079943
"Al-Khair Boys Secondary School, 109-117 Cherry Orchard Road",10017125
"Al-Madani Girls School, 339 - 341 Bath Road",10034448
"Al-Madani Independent Grammar School, 1 Whittle Parkway",10079413
"Al-Mahad-Al-Islami, 1 Industry Road",10014815
"Al-Mizan School, 46 Whitechapel Road",10018807
"Al-Noor Girls Secondary School, 21 Shakespeare Street",10029125
"Al-Noor Primary School, Al Noor Primary School Voluntary Aided",10074143
"Al-Sadiq School, Chevening Road",10014872
"Alameda Middle School, Station Road",10034856
"Alamiyah School, 113-115 Marlborough Road",10071828
"Albany Academy, Bolton Road",10038067
"Albany PRU, Beard Road",10082248
"Albright Education Centre, South Tipton Campus Site",10017199
"Alcester Academy, Gerard Road",10034868
"Alcester Grammar School, Birmingham Road",10033336
"Alde Valley Academy, Seaward Avenue",10047078
"Alder Bridge School, Bridge House",10018524
"Alder Brook, Walnut Road",10074170
"Alder Community High School, Mottram Old Road",10014785
"Alder Grange School, Calder Road",10014787
"Alderbrook School, Blossomfield Road",10034629
"Aldercar High School, Daltons Close",10014980
"Alderley Edge School for Girls, Wilmslow Road",10000202
"Alderman Knight School, Ashchurch Road",10015024
"Alderman Peel High School, Market Lane",10065395
"Alderman White School, Chilwell Lane",10039026
"Aldersley High School, Barnhurst Lane",10040003
"Alderwasley Hall School, Alderwasley",10000205
"Alderwood Academy, Raeburn Road",10064860
"Alderwood School, Belle Vue Road",10064119
"Aldine House Secure Children's Centre, 75 Limb Lane",10017566
"Aldridge School - A Science College, Tynings Lane",10036935
"AldridgeUTC@MediaCityUK, 100- 102 Broadway",10081054
"Aldro School, Lombard Street",10018775
"Aldwickbury School, Wheathampstead Road",10018860
"Aldworth School, Western Way",10007886
"Alec Hunter Academy, Stubbs Lane",10040774
"Alec Reed Academy, Bengarth Road",10015574
"Alexandra Park School, Bidwell Gardens",10034567
"Alexandra School, Alexandra Avenue",10043085
"Alfreton Park Community Special School, Alfreton Park",10015683
"Alfriston School, Penn Road",10036322
"All Hallows Catholic College, Brooklands Avenue",10040002
"All Hallows Catholic High School, Crabtree Avenue",10017084
"All Hallows Catholic School, Weybourne Road",10000215
"All Hallows RC High School, 150 Eccles Old Road",10014878
"All Hallows School, Cranmore Hall",10018764
"All Saints Academy Dunstable, Houghton Road",10027758
"All Saints Academy, Blair Avenue",10041280
"All Saints Catholic College Specialist in Humanities, Bradley Bar",10000219
"All Saints Catholic College, Birch Lane",10041818
"All Saints Catholic College, St Charles Square",10017353
"All Saints Catholic High School, Roughwood Drive",10027911
"All Saints Catholic School and Technology College, Terling Road",10000222
"All Saints Catholic Voluntary Academy, Broomhill Lane",10045639
"All Saints Church of England Academy, Pennycross",10030495
"All Saints RC School, Mill Mount Lane",10000225
"All Saints School, School Road",10014894
"All Saints' Academy, Cheltenham, Blaisdon Way",10029934
"All Saints' Catholic High School, Granville Road",10037590
"All Saints' Church of England Academy, Sunnyside Road",10083343
"All Saints' Roman Catholic High School, Rossendale, Haslingden Road",10014985
"Allen House Independent School, C/O St Christopher's Fellowship, 1 Putney High Street",10066082
"Allenbourn Middle School, East Borough",10048913
"Allenby Tutorial Trust, 62-72 Dalmain Road",10017903
"Allerton Grange School, Talbot Avenue",10000230
"Allerton High School, King Lane",10000231
"Allestree Woodlands School, Blenheim Drive",10036749
"Alleyn Court Preparatory School, Wakering Road",10071136
"Alleyn's School, Townley Road",10008065
"Alleyne's Academy, Oulton Road",10043053
"Almondbury Community School, Fernside Avenue",10014912
"Alperton Community School, Stanley Avenue",10038632
"Alpha Preparatory School, 21 Hindes Road",10077606
"Alsager School, Hassall Road",10043054
"Alsop High School Technology & Applied Learning Specialist College, Queen's Drive",10000250
"Alt Bridge School, Wellcroft Road",10014854
"Alternative Centre of Education, First Floor 51 Market Square",10073516
"Alternative Education Service - The Beacon Centre, Temple Park Road",10016922
"Alternative Home Tuition, Floor 4 County Hall",10065812
"Alton School, Anstey Lane",10014928
"Altrincham College, Green Lane",10038678
"Altrincham Grammar School for Boys, Marlborough Road",10032963
"Altrincham Grammar School for Girls, Cavendish Road",10035168
"Altrincham Preparatory School, Marlborough Road",10075150
"Altwood CofE Secondary School, Altwood Road",10037631
"Alvechurch CofE Middle School, Birmingham Road",10061611
"Amber Valley and Erewash Support Centre, Bennerley Avenue",10081921
"Ambergate Sports College, Dysart Road",10047150
"Amberleigh Residential Therapeutic School, Golfa Hall",10025465
"Amberleigh Therapeutic School, The Oaks",10070573
"Ambitious College, Pears Campus At the College of North East London",10048265
"Amersham School, Stanley Hill",10035121
"Amery Hill School, Amery Hill",10035475
"Amesbury School, Hazel Grove",10018513
"Ampleforth College, Ampleforth",10014957
"Amwell View School, Station Road",10014882
"Ancora House School, Countess of Chester Health Park",10016938
"Andalusia Academy Bristol, Old School Building",10015018
"Anderida Learning Centre, Neville Mews",10041538
"Anglia Ruskin University, Rivermead Campus",10000291
"Anglo European School, Willow Green",10035817
"Annan School, Annan Farm",10079140
"Annemount School, 18 Holne Chase",10080802
"Ansford Academy, Maggs Lane",10034101
"Anthony Gell School, Wirksworth",10000308
"Apex Primary School, 60-62 Argyle Road",10080495
"Apollo Partnership Trust T/A Castle Rock High School, Meadow Lane",10037869
"Apple Orchard Slinfold, Apple Orchard",10015364
"Appleby Grammar School, Battlebarrow",10034596
"Applefields School, Bad Bargain Lane",10014789
"Appleford School, Elston Lane",10018525
"Applemore College, Roman Road",10000320
"Appleton Academy, Woodside Road",10065408
"Appletree School, Natland",10027377
"Applied Educational Solutions, 10 Central Parade",10080759
"Aquinas College, Nangreave Road",10000330
"Aran Hall School, Rhydymain",10013787
"Arbour House, 15-17 Glendinning Avenue",10073482
"Arbour Vale School, Farnham Road",10067073
"Arc School Ansley, Cowley Mill Road",10080784
"Arc School Napton, C/O Kendleston Group Unit8",10078258
"Arc School Old Arley, C/O Kendleston Group Unit 8",10016163
"Archbishop Beck Catholic College, 55 Long Lane",10000339
"Archbishop Blanch School, 80 Earle Road",10000340
"Archbishop Holgate's School, A Church of England Academy, Hull Road",10033331
"Archbishop Ilsley Catholic School, Victoria Road",10082960
"Archbishop McGrath Catholic High School, Oak Tree Way",10008896
"Archbishop Sancroft High School (A Church of England Academy), Wilderness Lane",10068303
"Archbishop Sentamu Academy, 1 Bilton Grove",10024212
"Archbishop Temple School, A Church of England Specialist College, St Vincent's Road",10014803
"Archbishop Tenison's CofE High School, Selborne Road",10000344
"Archbishop Tenison's School, 55 Kennington Oval",10068503
"Archers Brook SEMH Residential School, Chester Road",10015406
"Archway School, Paganhill",10000349
"Archway, Learning Lane",10016643
"Arden College, 40 Derby Road",10000350
"Arden Fields, Stratford Road",10065512
"Arden, Station Road",10031562
"Ardingly College, College Road",10014955
"Area 51 Education Ltd, 1 Mallard Place",10024163
"Arena Academy, Beeches Road",10066946
"Argoed High School, Bryn Road",10013831
"Argyle House School, 19-20 Thornhill Park",10014794
"Ark Academy, Forty Avenue",10024211
"Ark Acton Academy, Gunnersbury Lane",10080890
"Ark Alexandra, Parkstone Road",10042410
"Ark All Saints Academy, 140 Wyndham Road",10041998
"Ark Bolingbroke Academy, Wakehurst Road",10038719
"Ark Boulton Academy, Golden Hillock Road",10042925
"Ark Burlington Danes Academy, Wood Lane",10015175
"Ark Charter Academy, Hyde Park Road",10027975
"Ark Elvin Academy, Cecil Avenue",10046437
"Ark Evelyn Grace Academy, 255 Shakespeare Road",10024209
"Ark Globe Academy, Harper Road",10024133
"Ark Greenwich Free School, 403 Shooters Hill Road",10037569
"Ark Isaac Newton Academy, 1 Cricklefield Place",10038460
"Ark John Keats Academy, Bell Lane",10042318
"Ark King Solomon Academy, Penfold Street",10021088
"Ark Kings Academy, Shannon Road",10037711
"Ark Pioneer Academy, ",10083729
"Ark Putney Academy, Pullman Gardens",10038701
"Ark St Alban's Academy, Conybere Street",10027856
"Ark Victoria Academy, Talbot Way",10053410
"Ark Walworth Academy, Shorncliffe Road",10021094
"Armfield Academy, Lytham Road",10067897
"Armthorpe Academy, Mere Lane",10037595
"Arnfield Independent School, C/O Arnfield Care Ltd",10022931
"Arnold Academy, Hexton Road",10034092
"Arnold Hill Academy, Gedling Road",10081517
"Arnold House School, 1-3 Loudoun Rd",10018625
"Arnold Lodge School, 15-17 Kenilworth Road",10018816
"ArnoldKEQMS  (AKS), Clifton Drive South",10008310
"Arrow Vale RSA Academy, Green Sward Lane",10038446
"Arthur Mellows Village College, Helpston Road",10031362
"Arts Educational School, 14 Bath Road",10000381
"Arts University Bournemouth, Wallisdown Road",10000385
"Arts and Media School Islington, Turle Road",10013526
"Ash Field Academy, Broad Avenue",10037053
"Ash Green School, Ash Green Lane",10036161
"Ash Hill Academy, Ash Hill",10035003
"Ash Lea School, Owthorpe Road",10014826
"Ash Manor School, Manor Road",10014862
"Ash Trees Academy, Bowes Road",10047468
"Ashbourne Independent School, 17 Old Court Place",10008898
"Ashbridge Independent School, Lindle Lane",10071114
"Ashbrooke House School, 9 Ellenborough Park North",10077559
"Ashbrooke School, Ashbrooke Street",10073484
"Ashby School, Nottingham Road",10038679
"Ashcroft High School, Crawley Green Road",10014869
"Ashcroft School, The Together Trust Centre",10015980
"Ashcroft Technology Academy, 100 West Hill",10021078
"Ashdown House School, Forest Row",10014907
"Ashfield Comprehensive School, Sutton Road",10036962
"Ashfold School, Dorton House",10018744
"Ashford School, East Hill",10008077
"Ashgate Croft School, Ashgate Road",10083493
"Ashgate Specialist Support Primary School, Crossacres Road",10078217
"Ashgrove School Ltd, 116 Widmore Road",10077614
"Ashington Academy, Green Lane",10064774
"Ashlawn School, Ashlawn Road",10033253
"Ashlea House School, Ashlea House",10027836
"Ashley College, Ashley Gardens",10025484
"Ashley High School, Cawfield Avenue",10014996
"Ashlyns School, Chesham Road",10000405
"Ashmole Academy, Cecil Road",10031563
"Ashmount School, Thorpe Hill",10017095
"Ashton Community Science College, Aldwych Drive",10014975
"Ashton House School, 50-52 Eversley Crescent",10077602
"Ashton Park School, Blackmoor's Lane",10066296
"Ashton Sixth Form College, Darnton Road",10082366
"Ashton-on-Mersey School, Cecil Avenue",10037238
"Ashville College, Green Lane",10017175
"Askham Bryan College, Askham Bryan",10000415
"Aspire Academy Bexley, South Gipsy Road",10064754
"Aspire Academy, 351 Annandale Road",10047212
"Aspire Academy, Frome Road",10045419
"Aspire, 56 Amersham Hill",10061807
"Assess Education, Bilail House",10039313
"Assunnah Primary School, 565A High Road",10079148
"Assure Community College, Unit 4 Northbrook Industrial Estate",10071817
"Astley Community High School, Elsdon Avenue",10000438
"Aston Academy, Aughton Road",10033573
"Aston Fields Middle School, Drummond Road",10018598
"Aston Manor Academy, Phillips Street",10034151
"Aston University Engineering Academy, 1 Lister Street",10037492
"Aston University, Aston Triangle",10007759
"Astor College (A Specialist College for the Arts), Astor Avenue",10037500
"Astrea Academy Sheffield, Andover Street",10067898
"Astrea Academy Woodfields, Weston Road",10081059
"Atam Academy, Little Heath",10057028
"Ateres Girls High School, Willow Grove",10070583
"Athena School, South Park",10022953
"Atherton Community School, Hamilton Street",10038717
"Atkinson House School, North Terrace",10014914
"Atkinson Secure Children's Home, Atkinson Close",10017705
"Atlantic Academy Portland, Maritime House",10065190
"Atlantic Academy, Bucks Cross",10081514
"Atrium Studio School, Balland Lane",10053997
"Attleborough Academy Norfolk, 9 Norwich Road",10044478
"Auckland College, 65-67 Parkfield Road",10017135
"Auckland Education Centre, Bosworth Wood Campus",10016569
"Audenshaw School, Hazel Street",10032161
"Aureus School, Candytuft Way",10064705
"Aurora Boveridge College, Cranborne",10067746
"Aurora Brambles School, 159 Longmeanygate",10028359
"Aurora Eccles School, Quidenham",10017120
"Aurora Grace House School, Carisbrooke Lodge",10016915
"Aurora Hanley School, Cambrian Way",10067869
"Aurora Hedgeway School, Rookery Lane",10067868
"Aurora Keyes Barn School, Station Road",10071840
"Aurora Meldreth Manor School, Fenny Lane",10004290
"Aurora Redehall School, Redehall Road",10071836
"Aurora Woodlands School, Woodlands",10070571
"Austen House, Bridge House, 1 Stuart Road",10073555
"Austin Friars, Etterby Scaur",10014938
"Avalon School, Brooks Road",10014983
"Avalon School, Caldy Road",10078256
"Avanti Fields School, 2 Bruce Street",10067899
"Avanti Gardens School, College Road",10084845
"Avanti Hall School, Cowley Bridge Road",10084842
"Avanti House School, Wemborough Road",10038152
"Avanti Park School, Avanti Park School",10084844
"Avecinna Academy, The Garrison Centre",10045014
"Avenue Centre for Education, Cutenhoe Road",10025480
"Avenue House School, 70 the Avenue",10071156
"Avenue Nursery and Pre-Preparatory School, 2 Highgate Avenue",10071848
"Avicenna Academy, Tinsley Park Road",10070536
"Avocet House, The Old Vicarage",10014873
"Avon House School, 490 High Road",10077593
"Avon Park School, St John's Avenue",10066253
"Avon Valley College, Recreation Road",10057185
"Avonbourne Boys' Academy, Harewood Avenue",10084023
"Avonbourne Girls Academy, Harewood Avenue",10037404
